QC,company_name,domain,Confidence Level,Vmware Detection,Firmo Status,keyword,company_url,AWS - Previous Detected Date,AWS - Last Detected Link,AWS - Last Detected Date,Remark,
Krishna,Golden Agri Stena Pte. Ltd.,http://www.goldenagri.com.sg/,,VMware,Working,AWS,https://www.goldenagri.com.sg/meet-our-women-scientists-at-smartri-who-make-agriculture-smarter/,,,,Golden Agri-Stena Pte. Ltd. is a joint venture between Golden Agri-Resources (GAR) and Stena Bulk,https://www.goldenagri.com.sg/meet-our-women-scientists-at-smartri-who-make-agriculture-smarter/
Krishna,GrandTech Cloud Malaysia,http://www.grandtechcloud.com,HIGH,VMware,Working,AWS,https://www.grandtechcloud.com/files/file_pool/1/0K216282418976122749/Lifesize%20Cloud%20Security.pdf,,,,,https://www.grandtechcloud.com/files/file_pool/1/0K216282418976122749/Lifesize%20Cloud%20Security.pdf
Krishna,Groupon Australia,http://www.groupon.com.au/,LOW,VMware,Working,AWS,https://www.groupon.com.au/deals/alpha-academy-529,,,,,https://www.groupon.com.au/deals/alpha-academy-529
Krishna,Gsoftcomm PET LTD,http://www.gsoftcomm.net/,HIGH,VMware,,EC2,https://www.gsoftcomm.net/blogs/detecting-unusual-spend-with-aws-cost-anomaly-detection/,,,,,https://www.gsoftcomm.net/blogs/detecting-unusual-spend-with-aws-cost-anomaly-detection/
Krishna,,https://www.theguardian.com/international,HIGH,VMware,,EC2,https://www.theguardian.com/technology/2017/feb/02/amazon-web-services-the-secret-to-the-online-retailers-future-success,,,,,https://www.theguardian.com/technology/2017/feb/02/amazon-web-services-the-secret-to-the-online-retailers-future-success
Krishna,"Gunung Raja Paksi Tbk, PT",https://www.gunungrajapaksi.com/,HIGH,VMware,Working,AWS,https://www.gunungrajapaksi.com/upload/public/download/SR_GGRP_FINAL_2022.pdf,,,,,https://www.gunungrajapaksi.com/upload/public/download/SR_GGRP_FINAL_2022.pdf
Krishna,Haier Appliances India Pvt Ltd,https://www.haier.com/in/,LOW,VMware,Working,AWS,https://www.haier.com/press-events/news/20220616_182530.shtml,,,,,https://www.haier.com/press-events/news/20220616_182530.shtml
Krishna,Halodoc,https://www.halodoc.com/?srsltid=AfmBOooSy_aLiZxEmevTXVTl5F4Iq19o6z_VrZ9GP5SW2ge1PmBd7_Iu,HIGH,VMware,Working,AWS,https://www.halodoc.com/kesehatan/syndrome-alice-dan-wonderland-todd?srsltid=AfmBOoqV_cAsayuT5p2hAI6hNv5-LjIKKbLCbsT3coLoB_WgOi8G2z4w,,,,,https://www.halodoc.com/kesehatan/syndrome-alice-dan-wonderland-todd?srsltid=AfmBOoqV_cAsayuT5p2hAI6hNv5-LjIKKbLCbsT3coLoB_WgOi8G2z4w
Krishna,Hap Seng Consolidated Berhad,http://www.hapseng.com.my/,,VMware,Working,AWS,https://www.hapseng.com.my/en/download/annualreports/consolidated/ar2016.pdf,,,,,https://www.hapseng.com.my/en/download/annualreports/consolidated/ar2016.pdf
Krishna,Happiest Minds Technologies Pvt Ltd,http://www.happiestminds.com,HIGH,VMware,,EC2,https://www.happiestminds.com/about-us/alliance/amazon-web-services/,,,,,https://www.happiestminds.com/about-us/alliance/amazon-web-services/
Krishna,Happiest Minds Technologies Pvt Ltd,http://www.happiestminds.com,HIGH,VMware,,AWS cloud,https://www.happiestminds.com/about-us/alliance/amazon-web-services/,,,,,https://www.happiestminds.com/about-us/alliance/amazon-web-services/
Krishna,Hays Australia,http://www.hays.com.au/,HIGH,VMware,,IAM,https://www.hays.com.au/it/online-learning/skills-development,,,,,https://www.hays.com.au/it/online-learning/skills-development
Krishna,HCH,https://www.homecredit.ph,LOW,VMware,Wrong Firmographics,AWS,https://www.homecredit.ph/dam/jcr:385004be-0c7a-4a38-a024-a632df50ad38/Privacy-by-Design-2024,,,,Wrong Firmographics,https://www.homecredit.ph/dam/jcr:385004be-0c7a-4a38-a024-a632df50ad38/Privacy-by-Design-2024
Krishna,Hirsch Bedner Associates Singapore,http://www.hba.com/,LOW,VMware,Working,AWS,https://www.hba.com/China/12680.pdf,,,,,https://www.hba.com/China/12680.pdf
Krishna,Host Pte Ltd,http://www.host.sg/,HIGH,VMware,Working,AWS,https://www.host.sg/wp-content/uploads/2024/01/Stratus_Machine-Design_eBook_HMI-SCADA-3.pdf,,,,,https://www.host.sg/wp-content/uploads/2024/01/Stratus_Machine-Design_eBook_HMI-SCADA-3.pdf
Krishna,hp inc. Indonesia,https://www.hp.com/id-id/home.html,LOW,VMware,,AWS cloud,http://www.hp.com/education/sections/cloud-courselist.html,,,,,http://www.hp.com/education/sections/cloud-courselist.html
Krishna,Hudson Global Resources (Singapore) Pte. Ltd.,http://www.hudson.sg/,LOW,VMware,Working,AWS,https://www.hudson.sg/jobview/data-platform-engineer-backend/fcce9b79-fea4-4a87-8f4e-feeb5f5decc4/expired/,,,,,https://www.hudson.sg/jobview/data-platform-engineer-backend/fcce9b79-fea4-4a87-8f4e-feeb5f5decc4/expired/
Krishna,I-sprint Innovation,http://www.i-sprint.com/,HIGH,VMware,,IAM,https://www.i-sprint.com/sp-test/,,,,,https://www.i-sprint.com/sp-test/
Krishna,IE Agency,http://www.ie.com.au,HIGH,VMware,Working,AWS,https://www.ie.com.au/insights/futureproduct-what-is-generative-ai-and-what-problem-is-it-solving,,,,,https://www.ie.com.au/insights/futureproduct-what-is-generative-ai-and-what-problem-is-it-solving
Krishna,Iluka Resources,http://www.iluka.com/,HIGH,VMware,Working,AWS,https://www.iluka.com/media/qwthwp3a/s180481_sheet-4-amenity-and-environmental-quality-v1.pdf,,,,,https://www.iluka.com/media/qwthwp3a/s180481_sheet-4-amenity-and-environmental-quality-v1.pdf
Krishna,Imagination Studio,https://imagination.com/,,VMware,Working,AWS,https://imagination.com/work/how-to-solve-tough-problems-with-aws-technology/,,,,,https://imagination.com/work/how-to-solve-tough-problems-with-aws-technology/
Krishna,Imperial Brands Australasia,https://www.linkedin.com/company/imperial-brands-plc/about/,HIGH,VMware,Working,Amazon EC2,https://www.linkedin.com/company/amazon-web-services,,,,,https://www.linkedin.com/company/amazon-web-services
Krishna,Imperial Brands Australasia,https://www.linkedin.com/company/imperial-brands-plc/about/,HIGH,VMware,,AWS cloud,https://www.linkedin.com/company/amazon-web-services,,,,,https://www.linkedin.com/company/amazon-web-services
Krishna,Independent News Service Private Ltd (India TV),https://www.indiatvnews.com/,HIGH,VMware,,EC2,https://www.indiatvnews.com/technology/news-new-aws-cloud-service-opens-doors-to-apple-developers-for-macs-668609,,,,,https://www.indiatvnews.com/technology/news-new-aws-cloud-service-opens-doors-to-apple-developers-for-macs-668609
Krishna,India Public Sector Enterprise - Accenture,http://www.accenture.com/,HIGH,VMware,Duplicate,AWS cloud,https://www.accenture.com/bg-en/services/cloud/aws-business-group,,,,,https://www.accenture.com/bg-en/services/cloud/aws-business-group
Krishna,India Public Sector Enterprise - Accenture,http://www.accenture.com/,HIGH,VMware,,Rekognition,https://www.accenture.com/au-en/careers/jobdetails?id=R00094521_en,,,,,https://www.accenture.com/au-en/careers/jobdetails?id=R00094521_en
Krishna,Indonesia AirAsia,https://www.airasia.com/en/gb,HIGH,VMware,,EC2,https://www.airasia.com/cdn/docs/common-docs/amazon-hackathon-kit-for-airasia-airvolution.pdf,,,,,https://www.airasia.com/cdn/docs/common-docs/amazon-hackathon-kit-for-airasia-airvolution.pdf
Krishna,Infosec Ventures,https://www.infosecventures.com/,HIGH,VMware,Working,AWS,https://www.infosecventures.com/post/cybersecurity-funding-news-week-of-14-august-2023,,,,,https://www.infosecventures.com/post/cybersecurity-funding-news-week-of-14-august-2023
Krishna,Infront Consulting Group (S) Pte Ltd,http://www.infrontconsulting.asia/,HIGH,VMware,Working,AWS,https://infrontconsulting.asia/services-managed-it/,,,,,https://infrontconsulting.asia/services-managed-it/
Krishna,Infront Consulting Group (S) Pte Ltd,http://www.infrontconsulting.asia/,HIGH,VMware,,CodePipeline,https://infrontconsulting.asia/services-managed-it/,,,,,https://infrontconsulting.asia/services-managed-it/
Krishna,Innovins Technologies Private Limited,http://www.innovins.com,LOW,VMware,,AWS Lambda,https://www.innovins.com/,,,,,https://www.innovins.com/
Krishna,INPEX Australia,https://www.inpex.com.au/,,VMware,Working,AWS,https://www.inpex.com.au/media/q3jj3ohe/0000-ah-std-60053_rev2-extreme-weather-management-standard.pdf,,,,,https://www.inpex.com.au/media/q3jj3ohe/0000-ah-std-60053_rev2-extreme-weather-management-standard.pdf
Krishna,Institute of Aeronautical Engineering,http://www.iare.ac.in,HIGH,VMware,,AWS,https://www.iare.ac.in/?q=e-governance-iare,,,,,https://www.iare.ac.in/?q=e-governance-iare
